Author,Number of Articles Published
"Pocock, Mark L.",1
"Lipset, Seymour Martin",1
"Combes, Pierre-Philippe",1
"Decreuse, Bruno",1
"Laouenan, Morgane",1
"Trannoy, Alain",1
"Ohashi, Isao",1
"Hallock, Kevin F.",1
"Corak, Miles",2
"Valletta, Robert G.",3
"Cunha, Flavio",1
"Heckman, James",1
"Suen, Wing",1
"Hutchens, Robert",1
"Danzinger, Leif",1
"Neuman, Shoshana",1
"Bound, John",5
"Holzer, Harry J.",3
"MacIsaac, Donna",1
"Rama, Martin",1
"Ittner, Christopher D.",1
"Larcker, David F.",1
"Weiss, Andrew",2
"Dillon, Eleanor Wiske",1
"Smith, Jeffrey Andrew",1
"MacLeod, W. Bentley",4
"Raff, Daniel M. G.",1
"Moscarini, Giuseppe",1
"Postel-Vinay, Fabien",1
"Hirsch, Boris",1
"Schank, Thorsten",1
"Schnabel, Claus",1
"Meitzen, Mark E.",1
"Gramm, Cynthia L.",2
"Schnell, John F.",2
"Campolieti, Michele",1
"Olsen, Trond E.",2
"Torsvik, Gaute",1
"Black, Dan A.",7
"Martins, Pedro S.",1
"Hu, Luojia",1
"Taber, Christopher",1
"Loewenstein, Mark A.",3
"Spletzer, James R.",2
"Chiappori, Pierre-Andre",1
"Moore, William J.",1
"Newman, Robert J.",1
"Turnbull, Geoffrey K.",1
"Benson, Alan",1
"Devereux, Paul J.",3
"Campbell, Carl M., III",1
"Brown, Meta",1
"Setren, Elizabeth",1
"Topa, Giorgio",1
"Morin, Louis-Philippe",1
"Weinberg, Bruce A.",2
"Reagan, Patricia B.",1
"Yankow, Jeffrey J.",1
"Del Bono, Emilia",2
"Weber, Andrea",1
"Loewenstein, George F.",1
"Sicherman, Nachum",5
"Kugler, Adriana D.",2
"Sauer, Robert M.",2
"Baum, Charles L., II",1
"Mansour, Hani",1
"Orrenius, Pia M.",1
"Zavodny, Madeline",2
"Kroft, Kory",2
"Pope, Devin G.",1
"Davies, James B.",1
"Grogger, Jeff",2
"Angrist, Joshua D.",4
"Lavy, Victor",5
"Cullen, Julie Berry",1
"Gruber, Jonathan",3
"Carrell, Scott E.",1
"Fullerton, Richard L.",1
"West, James E.",1
"Brassiolo, Pablo",1
"Bollinger, Christopher",1
"Ziliak, James P.",3
"Troske, Kenneth R.",4
"Fairlie, Robert W.",5
"Albrecht, James W.",2
"Vroman, Susan B.",2
"Ishida, Junichiro",2
"Rich, Robert",1
"Baker, Michael",6
"Benjamin, Dwayne",3
"Light, Audrey",5
"Ureta, Manuelita",2
"Lam, Kit-Chun",1
"Liu, Pak-Wai",1
