Author,Number of Articles Published
"Meyer, Bruce D.",3
"Bolduc, Denis",1
"Fortin, Bernard",1
"Fournier, Marc-Andre",1
"Kniesner, Thomas J.",1
"Boustan, Leah Platt",1
"Fishback, Price V.",1
"Kantor, Shawn",1
"Huttunen, Kristiina",1
"Kellokumpu, Jenni",1
"Marshall, Robert C.",1
"Lovenheim, Michael F.",2
"James-Burdumy, Susanne",1
"Bratsberg, Bernt",2
"Ragan, James F., Jr.",1
"Nasir, Zafar M.",1
"de Haan, Monique",1
"Eren, Ozkan",1
"Ozbeklik, Serkan",1
"Ben-Horim, Moshe",1
"Zuckerman, Dror",1
"Houseman, Susan N.",1
"Krueger, Alan",1
"Rouse, Cecilia",1
"Biewen, Martin",1
"Fitzenberger, Bernd",1
"Osikominu, Aderonke",1
"Paul, Marie",1
"Horton, John J.",1
"Booker, Kevin",1
"Gill, Brian",1
"Stixrud, Jora",1
"Urzua, Sergio",1
"Dickens, Richard",1
"Delfgaauw, Josse",2
"Dur, Robert",2
"Non, Arjan",1
"Verbeke, Willem",2
"Juhn, Chinhui",2
"Wallace, Frederick H.",1
"Meyer, Robert H.",1
"Wise, David A.",1
"Wessels, Walter J.",1
"Dyke, Andrew",1
"Heinrich, Carolyn J.",1
"Mueser, Peter R.",1
"Jeon, Kyung-Seong",1
"Henrekson, Magnus",1
"Persson, Mats",1
"Auld, M. Christopher",1
"Falch, Torberg",1
"Chiswick, Carmel U.",2
"Hartog, Joop",1
"Theeuwes, Jules",1
"Ham, John C.",3
"Li, Xianghong",1
"Shore-Sheppard, Lara D.",1
"Miller, Paul W.",1
"Duncan, Gregory M.",1
"Leigh, Duane E.",1
"Cornwell, Christopher",1
"Mustard, David B.",1
"Sridhar, Deepa J.",1
"Meghir, Costas",1
"Whitehouse, Edward",1
"Lozano, Fernando",1
"Mechoulan, Stephane",1
"Waldfogel, Jane",2
"Weinhardt, Felix",1
"Sand, Benjamin M.",1
"Noether, Monica",1
"Stanger, Shuchita",1
"Chatterji, Aaron K.",1
"Chay, Kenneth Y.",1
"Braga, Michela",1
"Paccagnella, Marco",1
"Pellizzari, Michele",1
"Stevenson, Betsey",1
"Johnson, John H., IV",1
"Johnson, Richard W.",1
"Smith, Christopher L.",1
"Bell, Linda A.",1
"Zveglich, Joseph E., Jr.",1
"Rodgers, Yana van der Meulen",1
"Betts, Julian R.",1
"Curme, Michael",1
"Caceres-Delpiano, Julio",1
"Giolito, Eugenio",1
"Fallick, Bruce Chelimsky",1
"Flyer, Fredrick A.",1
"Oreopoulos, Philip",2
"Huff Stevens, Ann",1
"Page, Marianne",1
"Piraino, Patrizio",1
"Haeck, Catherine",1
"Verboven, Frank",1
"Burtless, Gary",1
"Moffitt, Robert A.",1
"Baicker, Katherine",1
"Ibarraran, Pablo",1
"Regalia, Ferdinando",1
"Rosas-Shady, David",1
"Soares, Yuri",1
"Jepsen, Christopher",1
"Troske, Kenneth",1
"Coomes, Paul",1
"Levy, Armando",1
"Vukina, Tomislav",1
"Winter-Ebmer, Rudolf",2
"Dolton, Peter",1
"O'Neill, Donal",1
"Gronqvist, Erik",1
"Lindqvist, Erik",1
"Spenkuch, Jorg L.",1
"Wozniak, David",1
"Harbaugh, William T.",1
"Mayr, Ulrich",1
"Barany, Zsofia L.",1
"Bitler, Marianne",1
"Hoynes, Hilary",1
"Flyer, Fredrick",1
"Cameron, Stephen V.",1
"Preston, Anne E.",1
"Gurtler, Marc",1
"Gurtler, Oliver",1
"Becketti, Sean",1
"Reimers, Cordelia",1
"Curto, Vilsa E.",1
"Fryer, Roland G., Jr.",1
"Kanemoto, Yoshitsugu",1
"Nickell, Stephen J.",1
"Symons, James",1
"Bishop, John",1
"Zabel, Jeffrey E.",1
"McIntyre, Frank",1
"Zimmerman, Seth D.",1
"Strayer, Wayne",1
"Lluis, Stephanie",1
"Rees, Albert",1
"Kenkel, Donald",1
"Lillard, Dean",1
"Mathios, Alan",1
"Jakubson, George",1
"Fevang, Elisabeth",1
"Markussen, Simen",1
"Roed, Knut",2
"Bernheim, B. Douglas",1
"Shleifer, Andrei",1
"Coffey, Bentley",1
"Maloney, M. T.",1
"O'Neill, June",2
"Voos, Paula B.",1
"Mishel, Lawrence R.",1
"Na, In-Gang",1
"Hotchkiss, Julie L.",1
"Cramton, Peter",1
"Stanton, Christopher T.",1
"Costa, Dora L.",1
"Bar-Or, Yuval",1
"Kwon, Illoong",1
"Fama, Eugene F.",1
"Ward, Michael P.",1
"Anderson, Patricia M.",3
"Priest, George L.",1
"Main, Brian G. M.",1
"O'Reilly, Charles A., III",1
"Wade, James",1
"Sol, Joeri",2
"Cunningham, Elizabeth J.",1
"Mohnen, Alwine",1
"Pokorny, Kathrin",1
"Sliwka, Dirk",2
"Goerg, Sebastian J.",1
"Kube, Sebastian",1
"Zultan, Ro'i",1
"Gustafsson, Siv",1
"Jacobsson, Roger",1
"Bernhardt, Annette",1
"Hernandez Iglesias, Feliciano",1
"Peracchi, Franco",1
"Parkin, Michael",1
"Kahn, Charles",1
"Huberman, Gur",1
"Vindigni, Andrea",1
"Scotti, Simone",1
"Tealdi, Cristina",1
"Bai, Chong-En",1
"Hendricks, Wallace",1
"DeBrock, Lawrence",1
"Koenker, Roger",1
"Black, Sandra E.",1
"Salvanes, Kjell G.",1
"Feld, Jan",1
"Zolitz, Ulf",1
"Clark, Andrew E.",1
"Hoffmann, Florian",1
"Mueller, Andreas I.",1
"Rothstein, Jesse",1
"von Wachter, Till M.",1
"Deere, Donald R.",1
"Christofides, Louis N.",1
"McKenna, C. J.",1
"Omori, Yoshiaki",1
"Rea, Samuel A., Jr.",1
"Brown, Eleanor P.",1
"Calmfors, Lars",1
"Zweimuller, Josef",1
"Olivetti, Claudia",1
"Gottlieb, Joshua D.",1
"Ziv, Oren",1
"Dowrick, Steve",1
"Spencer, Barbara J.",1
"Lewis, H. Gregg",2
"Perloff, Jeffrey M.",1
"Sickles, Robin C.",1
"Hayes, Beth",1
"Yao, Yang",1
"Zhong, Ninghua",1
"DeFina, Robert H.",1
"Herbst, Chris M.",1
"Kearl, J. R.",1
"Pope, Clayne L.",1
"O'Flaherty, Brendan",1
"Chemin, Matthieu",1
"Wasmer, Etienne",1
"Tyler, John H.",1
"van Ours, Jan",1
"Ridder, Geert",1
"McNally, Sandra",1
"Sweetman, Arthur",1
"Elsby, Michael W. L.",1
"Shin, Donggyun",1
"Martinello, Felice",1
"Perry, Motty",1
"Hamilton, Jonathan",1
"Thisse, Jacques-Francois",1
"Dahl, Christian M.",1
"le Maire, Daniel",1
"Munch, Jakob R.",1
"Hibbs, Douglas A., Jr.",1
"Locking, Hakan",1
"Werner, Peter",1
"Fu, Shihe",1
"Ross, Stephen L.",1
"Famulari, Melissa",1
"Kristensen, Nicolai",1
"Landau, Henry J.",1
"Allen, Douglas W.",1
"Murray, Charles",1
"Enchautegui, Maria E.",1
"Stafford, Tess M.",1
"Blanchflower, David G.",1
"Gelbach, Jonah B.",1
"Schnedler, Wendelin",1
"Raaum, Oddbjorn",1
"Fehr, Ernst",1
"Rissman, Ellen R.",1
"Cortes, Guido Matias",1
"Leete, Laura",1
"Robb, Alicia M.",1
"Joshi, Heather E.",1
"Layard, Richard",1
"Owen, Susan J.",1
"Compton, Janice",1
"Pollak, Robert A.",1
"Barlevy, Gadi",1
"Van Praag, Mirjam",1
"Huang, Chong",1
"Li, Hongbin",1
"Liu, Pak Wai",1
"Zhang, Junsen",1
"Schirle, Tammy",1
"Polachek, Solomon",1
"Gregory, R. G.",1
"McMahon, P.",1
"Whittingham, B.",1
"Ge, Suqin",1
"Ofer, Gur",1
"Vinokur, Aaron",1
"Paarsch, Harry J.",1
"Paxson, Christina",1
"Herrmann, Mariesa A.",1
"Rockoff, Jonah E.",1
"Cooper, Russell",1
"Aron, Debra J.",1
"DeLeire, Thomas",1
"Levy, Helen",1
"Ruser, John W.",1
"Gicheva, Dora",1
"Friedberg, Rachel M.",1
"Tuma, Nancy Brandon",1
